term,phonetic,definition,translation,example,tags,rootKey,derivatives,frq,pos,mnemonic
state,steit,,"n. 州, 状态, 情形, 国家, 政府, 领土, 国务, 社会地位； a. 国家的, 正式的, 礼仪用的, 州的",,cet4|stat,stat,stated|states|stating,137,,stat 像 stand 的骨架：站住的一刻就是状态 state。
statement,'steitmәnt,,"n. 陈述, 指令, 声明； [计] 程序语句; 语句",,cet4|stat,stat,statements,921,,state + ment：把状态说出来就是 statement 陈述。
status,'steitәs,,"n. 状态, 情形, 地位, 要人身份； [计] 状态",,cet4|stat,stat,,1215,,stat 站在哪个位置，status 就是身份和状态。
statistics,stә'tistiks,,"n. 统计学, 统计资料； [计] 统计信息",,cet4|stat,stat,,2709,,stat 状态 + 数字汇总，statistics 就是统计。
statue,'stætju,,vt. 以雕像装饰； n. 雕像,,cet4|stat,stat,statues,3872,,
statistical,stә'tistikl,,"a. 统计的, 统计上的, 统计学的； [经] 统计的, 统计学的",,cet4|stat,stat,,4292,,
static,'stætik,,"n. 静电, 静电干扰； a. 静态的, 静止的, 固有的, 静电的",,cet4|stat,stat,statics,5963,,
statesman,'steitsmәn,,n. 政治家,,cet4|stat,stat,statesmen,10075,,
include,in'klu:d,,"vt. 包括, 把...算入, 包住； [计] DOS内部命令:在CONFIG.SYS文件的一个配置块中包含另一配置块的内容",,cet4|clud,clud,included|includes|including,292,,in + clude 关进去，把内容关进来就是 include。
conclude,kәn'klu:d,,"vt. 结束, 作结论, 推断； vi. 结束, 推断",,cet4|clud,clud,concluded|concludes|concluding,1670,,con + clude 合上，讨论合上就是 conclude 得出结论。
exclude,iks'klu:d,,"vt. 除外, 排除, 排斥； [医] 除外(诊断)",,cet4|clud,clud,excluded|excludes|excluding,3470,,ex + clude 关在外面，exclude 就是排除。
community,kә'mju:niti,,"n. 社区, 公众, 共有, 共同体； [经] 公众, 共有, 社会",,cet4|commun,commun,communities,296,,commun 表共同，community 是共同生活的人群。
communicate,kә'mju:nikeit,,"vt. 显露, 传达, 感染； vi. 通讯",,cet4|commun,commun,communicated|communicates|communicating,2672,,commun 共同 + ate，让信息共同流动就是 communicate。
communist,'kɒmjunist,,"n. 共产主义者, 共产党员； [法] 共产主义的, 共产党的",,cet4|commun,commun,communists,5543,,
social,'sәuʃәl,,"a. 社会的, 群居的, 社交的； n. 联欢会",,cet4|soci,soci,,319,,soci 表伙伴，social 是和伙伴相处的社会性。
society,sә'saiәti,,n. 社会；社交界；交往；社团,,cet4|soci,soci,societies,507,,soci 伙伴集合起来就是 society 社会。
associate,ә'sәuʃieit,,"n. 同伴, 伙伴, 关联的事物； vt. 使联合, 使发生联系",,cet4|soci,soci,associated|associates|associating,1354,,as + soci + ate，和伙伴连在一起就是 associate。
association,ә.sәuʃә'eiʃәn,,n. 协会； [计] 关联,,cet4|soci,soci,associations,1859,,associate 的组织名词，association 是连结成的协会。
socialist,'sәuʃәlist,,"n. 社会主义者, 社会党党员； [法] 社会主义的",,cet4|soci,soci,socialists,5591,,
socialism,'sәuʃәlizm,,"n. 社会主义, 社会主义运动",,cet4|soci,soci,socialisms,7238,,
result,ri'zʌlt,,"n. 结果, 成绩, 答案； vi. 产生, 结果, 致使",,cet4|sault,sault,resulted|resulting|results,354,,re + sult 像事情跳出来，结果就是 result。
insult,'insʌlt,,"n. 侮辱, 无礼, 损害； vt. 损害, 侮辱, 攻击",,cet4|sault,sault,insulted|insulting|insults,6568,,in + sult，把坏话甩进去就是 insult 侮辱。
consider,kәn'sidŋ,,"v. 考虑, 思考, 认为",,cet4|sider,sider,considered|considering|considers,394,,con + sider 像一起看星星，反复看就是 consider。
consideration,kәn.sidә'reiʃәn,,"n. 考虑, 原因； [法] 考虑, 思考, 报酬",,cet4|sider,sider,considerations,2487,,consider 后形成的名词，consideration 是认真考虑。
probably,'prɒbәbli,,"adv. 大概, 或许",,cet4|prob,prob,,398,,prob 表验证，probably 是经过判断后的大概可能。
probability,.prɒbә'biliti,,"n. 可能性, 或然率, 几率, 概率； [化] 概率; 几率",,cet4|prob,prob,probabilities,5104,,prob 可验证的可能性，probability 就是概率。
probable,'prɒbәbl,,"a. 很可能的, 大概的, 可信的； n. 很有希望的候选人, 很可能的事情",,cet4|prob,prob,probables,6767,,probable 是有证据支持的可能。
sense,sens,,"n. 感应, 感觉, 感官, 意识, 观念, 情理, 知觉, 理智； vt. 感觉, 觉察, 检测",,cet4|sens,sens,sensed|senses|sensing,407,,sense 像 sensor，感官收到的就是 sense。
sensitive,'sensitiv,,"a. 敏感的, 易感的, 灵敏的, 感光的； [机] 敏感的, 灵敏的, 感度高的",,cet4|sens,sens,sensitives,2506,,sense + tive，容易感到变化就是 sensitive。
nonsense,'nɒnsәns,,"n. 无意义的事, 荒谬言行, 荒唐",,cet4|sens,sens,nonsenses,5969,,non + sense，没有 sense 就是 nonsense 胡话。
sensible,'sensәbl,,"a. 有感觉的, 敏感的, 明智的； [医] 可感觉的",,cet4|sens,sens,,6126,,sense + ible，能讲得通就是 sensible 明智。
course,kɒ:s,,"n. 课程, 路线, 过程, 一道菜, 道路； v. 追, (使)跑",,cet4|cour,cour,coursed|courses|coursing,418,,
courage,'kʌridʒ,,"n. 勇气, 胆量",,cet4|cour,cour,,3324,,
