term,phonetic,definition,translation,example,tags,rootKey,derivatives,frq,pos,mnemonic
state,steit,,"n. 州, 状态, 情形, 国家, 政府, 领土, 国务, 社会地位； a. 国家的, 正式的, 礼仪用的, 州的",,ky|stat,stat,stated|states|stating,137,,stat 像 stand 的骨架：站住的一刻就是状态 state。
statement,'steitmәnt,,"n. 陈述, 指令, 声明； [计] 程序语句; 语句",,ky|stat,stat,statements,921,,state + ment：把状态说出来就是 statement 陈述。
status,'steitәs,,"n. 状态, 情形, 地位, 要人身份； [计] 状态",,ky|stat,stat,,1215,,stat 站在哪个位置，status 就是身份和状态。
statistics,stә'tistiks,,"n. 统计学, 统计资料； [计] 统计信息",,ky|stat,stat,,2709,,stat 状态 + 数字汇总，statistics 就是统计。
statue,'stætju,,vt. 以雕像装饰； n. 雕像,,ky|stat,stat,statues,3872,,
statistical,stә'tistikl,,"a. 统计的, 统计上的, 统计学的； [经] 统计的, 统计学的",,ky|stat,stat,,4292,,
static,'stætik,,"n. 静电, 静电干扰； a. 静态的, 静止的, 固有的, 静电的",,ky|stat,stat,statics,5963,,
stationary,'steiʃ(ә)nәri,,"a. 不动的, 静止的, 不变的, 固定的, 停留的； [计] 定常, 定态, 固定的",,ky|stat,stat,,10049,,
statesman,'steitsmәn,,n. 政治家,,ky|stat,stat,statesmen,10075,,
stationery,'steiʃәnәri,,"n. 文具, 信纸； [法] 文具",,ky|stat,stat,,14645,,
provide,prә'vaid,,"vt. 提供, 供应, 规定, 预备； vi. 作准备, 抚养, 规定",,ky|prud,prud,provided|provides|providing,262,,
prudent,'pru:dnt,,"a. 审慎的, 三思而后行的, 精明的, 节俭的",,ky|prud,prud,prudenter,8823,,
prudence,'pru:dns,,"n. 审慎, 慎重, 精明, 节俭",,ky|prud,prud,,14974,,
include,in'klu:d,,"vt. 包括, 把...算入, 包住； [计] DOS内部命令:在CONFIG.SYS文件的一个配置块中包含另一配置块的内容",,ky|clud,clud,included|includes|including,292,,in + clude 关进去，把内容关进来就是 include。
conclude,kәn'klu:d,,"vt. 结束, 作结论, 推断； vi. 结束, 推断",,ky|clud,clud,concluded|concludes|concluding,1670,,con + clude 合上，讨论合上就是 conclude 得出结论。
exclude,iks'klu:d,,"vt. 除外, 排除, 排斥； [医] 除外(诊断)",,ky|clud,clud,excluded|excludes|excluding,3470,,ex + clude 关在外面，exclude 就是排除。
preclude,pri'klu:d,,"vt. 预先排除, 预防, 阻止, 妨碍； [法] 预防, 排除, 消除",,ky|clud,clud,precluded|precludes|precluding,8092,,
community,kә'mju:niti,,"n. 社区, 公众, 共有, 共同体； [经] 公众, 共有, 社会",,ky|commun,commun,communities,296,,commun 表共同，community 是共同生活的人群。
communicate,kә'mju:nikeit,,"vt. 显露, 传达, 感染； vi. 通讯",,ky|commun,commun,communicated|communicates|communicating,2672,,commun 共同 + ate，让信息共同流动就是 communicate。
social,'sәuʃәl,,"a. 社会的, 群居的, 社交的； n. 联欢会",,ky|soci,soci,,319,,soci 表伙伴，social 是和伙伴相处的社会性。
society,sә'saiәti,,n. 社会；社交界；交往；社团,,ky|soci,soci,societies,507,,soci 伙伴集合起来就是 society 社会。
associate,ә'sәuʃieit,,"n. 同伴, 伙伴, 关联的事物； vt. 使联合, 使发生联系",,ky|soci,soci,associated|associates|associating,1354,,as + soci + ate，和伙伴连在一起就是 associate。
association,ә.sәuʃә'eiʃәn,,n. 协会； [计] 关联,,ky|soci,soci,associations,1859,,associate 的组织名词，association 是连结成的协会。
socialism,'sәuʃәlizm,,"n. 社会主义, 社会主义运动",,ky|soci,soci,socialisms,7238,,
sociology,.sәusi'ɒlәdʒi,,n. 社会学； [医] 社会学,,ky|soci,soci,sociologies,8002,,
sociable,'sәuʃәbl,,"a. 好交际的, 社交的, 过社会生活的； n. 联谊会",,ky|soci,soci,,20210,,
result,ri'zʌlt,,"n. 结果, 成绩, 答案； vi. 产生, 结果, 致使",,ky|sault,sault,resulted|resulting|results,354,,re + sult 像事情跳出来，结果就是 result。
assault,ә'sɒ:t,,"n. 攻击, 袭击； vt. 袭击, 攻击",,ky|sault,sault,assaulted|assaulting|assaults,2860,,
insult,'insʌlt,,"n. 侮辱, 无礼, 损害； vt. 损害, 侮辱, 攻击",,ky|sault,sault,insulted|insulting|insults,6568,,in + sult，把坏话甩进去就是 insult 侮辱。
consider,kәn'sidŋ,,"v. 考虑, 思考, 认为",,ky|sider,sider,considered|considering|considers,394,,con + sider 像一起看星星，反复看就是 consider。
